id,verb,phrasal,text,filename
1,take,take after,take after,audio/take_after.mp3
2,take,take after,She takes after her father's sense of humor.,audio/take_after_example.mp3
3,take,take away,take away,audio/take_away.mp3
4,take,take away,Can you take away the trash?,audio/take_away_example.mp3
5,take,take back,take back,audio/take_back.mp3
6,take,take back,I take back what I said.,audio/take_back_example.mp3
7,take,take down,take down,audio/take_down.mp3
8,take,take down,Take down the meeting notes.,audio/take_down_example.mp3
9,take,take in,take in,audio/take_in.mp3
10,take,take in,It's hard to take in all the details.,audio/take_in_example.mp3
11,take,take off,take off,audio/take_off.mp3
12,take,take off,Take off your jacket.,audio/take_off_example.mp3
13,take,take on,take on,audio/take_on.mp3
14,take,take on,Don't take on too much work.,audio/take_on_example.mp3
15,take,take out,take out,audio/take_out.mp3
16,take,take out,He took out his phone to check.,audio/take_out_example.mp3
17,take,take over,take over,audio/take_over.mp3
18,take,take over,She took over the project.,audio/take_over_example.mp3
19,take,take up,take up,audio/take_up.mp3
20,take,take up,I took up yoga last month.,audio/take_up_example.mp3
21,get,get along,get along,audio/get_along.mp3
22,get,get along,I get along well with my neighbors.,audio/get_along_example.mp3
23,get,get around,get around,audio/get_around.mp3
24,get,get around,She gets around by subway.,audio/get_around_example.mp3
25,get,get away,get away,audio/get_away.mp3
26,get,get away,We got away for a weekend trip.,audio/get_away_example.mp3
27,get,get back,get back,audio/get_back.mp3
28,get,get back,I'll get back to you later.,audio/get_back_example.mp3
29,get,get by,get by,audio/get_by.mp3
30,get,get by,I can get by with my limited French.,audio/get_by_example.mp3
31,get,get in,get in,audio/get_in.mp3
32,get,get in,"Get in the car, we're late!",audio/get_in_example.mp3
33,get,get off,get off,audio/get_off.mp3
34,get,get off,I get off at 5 p.m.,audio/get_off_example.mp3
35,get,get on,get on,audio/get_on.mp3
36,get,get on,Get on the bus quickly.,audio/get_on_example.mp3
37,get,get out,get out,audio/get_out.mp3
38,get,get out,Let's get out and have fun.,audio/get_out_example.mp3
39,get,get over,get over,audio/get_over.mp3
40,get,get over,She got over her fear of public speaking.,audio/get_over_example.mp3
41,get,get through,get through,audio/get_through.mp3
42,get,get through,I got through the exam.,audio/get_through_example.mp3
43,get,get up,get up,audio/get_up.mp3
44,get,get up,I get up at 6 a.m. daily.,audio/get_up_example.mp3
45,make,make for,make for,audio/make_for.mp3
46,make,make for,Good teamwork makes for success.,audio/make_for_example.mp3
47,make,make it,make it,audio/make_it.mp3
48,make,make it,She made it to the top of the company.,audio/make_it_example.mp3
49,make,make out,make out,audio/make_out.mp3
50,make,make out,I can't make out the handwriting.,audio/make_out_example.mp3
51,make,make up,make up,audio/make_up.mp3
52,make,make up,He made up a funny story.,audio/make_up_example.mp3
53,make,make over,make over,audio/make_over.mp3
54,make,make over,They made over their old apartment.,audio/make_over_example.mp3
55,break,break down,break down,audio/break_down.mp3
56,break,break down,The car broke down on the highway.,audio/break_down_example.mp3
57,break,break in,break in,audio/break_in.mp3
58,break,break in,Someone broke in last night.,audio/break_in_example.mp3
59,break,break off,break off,audio/break_off.mp3
60,break,break off,They broke off their engagement.,audio/break_off_example.mp3
61,break,break out,break out,audio/break_out.mp3
62,break,break out,A fire broke out in the building.,audio/break_out_example.mp3
63,break,break up,break up,audio/break_up.mp3
64,break,break up,They broke up after two years.,audio/break_up_example.mp3
65,run,run into,run into,audio/run_into.mp3
66,run,run into,I ran into an old friend yesterday.,audio/run_into_example.mp3
67,run,run out,run out,audio/run_out.mp3
68,run,run out,We ran out of milk.,audio/run_out_example.mp3
69,run,run over,run over,audio/run_over.mp3
70,run,run over,A car ran over my bike.,audio/run_over_example.mp3
71,run,run through,run through,audio/run_through.mp3
72,run,run through,I ran through the document quickly.,audio/run_through_example.mp3
73,run,run up,run up,audio/run_up.mp3
74,run,run up,He ran up a huge bill at the bar.,audio/run_up_example.mp3
75,do,do away with,do away with,audio/do_away_with.mp3
76,do,do away with,They did away with outdated policies.,audio/do_away_with_example.mp3
77,do,do over,do over,audio/do_over.mp3
78,do,do over,I need to do this essay over.,audio/do_over_example.mp3
79,do,do up,do up,audio/do_up.mp3
80,do,do up,We're doing up the living room.,audio/do_up_example.mp3
81,do,do with,do with,audio/do_with.mp3
82,do,do with,I could do with a coffee.,audio/do_with_example.mp3
83,do,do without,do without,audio/do_without.mp3
84,do,do without,I can do without dessert tonight.,audio/do_without_example.mp3
85,have,have on,have on,audio/have_on.mp3
86,have,have on,She has on a blue scarf.,audio/have_on_example.mp3
87,have,have over,have over,audio/have_over.mp3
88,have,have over,We had friends over for lunch.,audio/have_over_example.mp3
89,have,have to,have to,audio/have_to.mp3
90,have,have to,I have to finish this by tonight.,audio/have_to_example.mp3
91,have,have out,have out,audio/have_out.mp3
92,have,have out,Let's have it out and solve this issue.,audio/have_out_example.mp3
93,have,have up,have up,audio/have_up.mp3
94,have,have up,He was had up for parking illegally.,audio/have_up_example.mp3
95,put,put across,put across,audio/put_across.mp3
96,put,put across,She put her point across clearly.,audio/put_across_example.mp3
97,put,put in,put in,audio/put_in.mp3
98,put,put in,I put in three hours on this task.,audio/put_in_example.mp3
99,put,put off,put off,audio/put_off.mp3
100,put,put off,The meeting was put off until next week.,audio/put_off_example.mp3
101,put,put out,put out,audio/put_out.mp3
102,put,put out,Put out the cigarette.,audio/put_out_example.mp3
103,put,put up,put up,audio/put_up.mp3
104,put,put up,They put up a tent.,audio/put_up_example.mp3
105,go,go for,go for,audio/go_for.mp3
106,go,go for,I'll go for the pasta.,audio/go_for_example.mp3
107,go,go off,go off,audio/go_off.mp3
108,go,go off,The milk went off.,audio/go_off_example.mp3
109,go,go on,go on,audio/go_on.mp3
110,go,go on,"Go on, tell me more!",audio/go_on_example.mp3
111,go,go over,go over,audio/go_over.mp3
112,go,go over,Let's go over the plan again.,audio/go_over_example.mp3
113,go,go through,go through,audio/go_through.mp3
114,go,go through,She went through a hard time.,audio/go_through_example.mp3
115,come,come across,come across,audio/come_across.mp3
116,come,come across,I came across an old photo.,audio/come_across_example.mp3
117,come,come back,come back,audio/come_back.mp3
118,come,come back,I'll come back later.,audio/come_back_example.mp3
119,come,come by,come by,audio/come_by.mp3
120,come,come by,Jobs are hard to come by.,audio/come_by_example.mp3
121,come,come up,come up,audio/come_up.mp3
122,come,come up,"Something came up, so I'm late.",audio/come_up_example.mp3
123,come,come up with,come up with,audio/come_up_with.mp3
124,come,come up with,She came up with a great plan.,audio/come_up_with_example.mp3
125,set,set about,set about,audio/set_about.mp3
126,set,set about,She set about cleaning the house.,audio/set_about_example.mp3
127,set,set aside,set aside,audio/set_aside.mp3
128,set,set aside,Set aside some time for studying.,audio/set_aside_example.mp3
129,set,set off,set off,audio/set_off.mp3
130,set,set off,We set off for the beach at dawn.,audio/set_off_example.mp3
131,set,set out,set out,audio/set_out.mp3
132,set,set out,They set out to build a new app.,audio/set_out_example.mp3
133,set,set up,set up,audio/set_up.mp3
134,set,set up,They set up a new company.,audio/set_up_example.mp3
135,look,look after,look after,audio/look_after.mp3
136,look,look after,She looks after her younger brother on weekends.,audio/look_after_example.mp3
137,look,look for,look for,audio/look_for.mp3
138,look,look for,I'm looking for my keys everywhere.,audio/look_for_example.mp3
139,look,look into,look into,audio/look_into.mp3
140,look,look into,They're looking into the cause of the issue.,audio/look_into_example.mp3
141,look,look out,look out,audio/look_out.mp3
142,look,look out,Look out! There's a car coming!,audio/look_out_example.mp3
143,look,look up,look up,audio/look_up.mp3
144,look,look up,I looked up the word in the dictionary.,audio/look_up_example.mp3
145,turn,turn down,turn down,audio/turn_down.mp3
146,turn,turn down,She turned down the job offer.,audio/turn_down_example.mp3
147,turn,turn into,turn into,audio/turn_into.mp3
148,turn,turn into,The caterpillar turned into a butterfly.,audio/turn_into_example.mp3
149,turn,turn off,turn off,audio/turn_off.mp3
150,turn,turn off,Turn off the lights before leaving.,audio/turn_off_example.mp3
151,turn,turn on,turn on,audio/turn_on.mp3
152,turn,turn on,"Turn on the TV, please.",audio/turn_on_example.mp3
153,turn,turn up,turn up,audio/turn_up.mp3
154,turn,turn up,He turned up late to the party.,audio/turn_up_example.mp3
155,bring,bring up,bring up,audio/bring_up.mp3
156,bring,bring up,She brought up an interesting point in the meeting.,audio/bring_up_example.mp3
157,bring,bring about,bring about,audio/bring_about.mp3
158,bring,bring about,The new policy brought about many changes.,audio/bring_about_example.mp3
159,bring,bring along,bring along,audio/bring_along.mp3
160,bring,bring along,Can I bring a friend along to the party?,audio/bring_along_example.mp3
161,bring,bring back,bring back,audio/bring_back.mp3
162,bring,bring back,This song brings back old memories.,audio/bring_back_example.mp3
163,bring,bring out,bring out,audio/bring_out.mp3
164,bring,bring out,They brought out a new product line.,audio/bring_out_example.mp3
165,give,give up,give up,audio/give_up.mp3
166,give,give up,He gave up smoking last year.,audio/give_up_example.mp3
167,give,give in,give in,audio/give_in.mp3
168,give,give in,She gave in to her kids' demands.,audio/give_in_example.mp3
169,give,give out,give out,audio/give_out.mp3
170,give,give out,They gave out free samples at the store.,audio/give_out_example.mp3
171,give,give away,give away,audio/give_away.mp3
172,give,give away,Don’t give away the surprise!,audio/give_away_example.mp3
173,give,give back,give back,audio/give_back.mp3
174,give,give back,I gave the book back to her.,audio/give_back_example.mp3
175,keep,keep up,keep up,audio/keep_up.mp3
176,keep,keep up,Keep up with the latest trends.,audio/keep_up_example.mp3
177,keep,keep on,keep on,audio/keep_on.mp3
178,keep,keep on,She kept on working despite being tired.,audio/keep_on_example.mp3
179,keep,keep out,keep out,audio/keep_out.mp3
180,keep,keep out,The sign says 'Keep Out'.,audio/keep_out_example.mp3
181,keep,keep off,keep off,audio/keep_off.mp3
182,keep,keep off,"Keep off the grass, please.",audio/keep_off_example.mp3
183,keep,keep in,keep in,audio/keep_in.mp3
184,keep,keep in,Try to keep your anger in.,audio/keep_in_example.mp3
185,pick,pick up,pick up,audio/pick_up.mp3
186,pick,pick up,Can you pick up some milk on your way home?,audio/pick_up_example.mp3
187,figure,figure out,figure out,audio/figure_out.mp3
188,figure,figure out,I'm trying to figure out how this machine works.,audio/figure_out_example.mp3
189,hang,hang out,hang out,audio/hang_out.mp3
190,hang,hang out,We usually hang out at the local cafe on weekends.,audio/hang_out_example.mp3
191,hang,hang on,hang on,audio/hang_on.mp3
192,hang,hang on,"Hang on a second, I will be right with you.",audio/hang_on_example.mp3
